jurisdiction,vaccine,week,first_dose,second_dose
Alabama,Janssen,2021-03-01,40100,NA
Alabama,Janssen,2021-03-15,5600,NA
Alabama,Janssen,2021-03-22,5600,NA
Alabama,Janssen,2021-03-29,28300,NA
Alabama,Janssen,2021-04-05,71800,NA
Alabama,Janssen,2021-04-12,8500,NA
Alabama,Janssen,2021-05-03,11000,NA
Alabama,Janssen,2021-05-10,8500,NA
Alabama,Moderna,2020-12-21,84300,84300
Alabama,Moderna,2020-12-28,29100,29100
Alabama,Moderna,2021-01-04,29000,29000
Alabama,Moderna,2021-01-11,29100,29100
Alabama,Moderna,2021-01-18,30600,30600
Alabama,Moderna,2021-01-25,30600,30600
Alabama,Moderna,2021-02-01,40400,40400
Alabama,Moderna,2021-02-08,44100,44100
Alabama,Moderna,2021-02-15,47700,47700
Alabama,Moderna,2021-02-22,47700,47700
Alabama,Moderna,2021-03-01,47700,47700
Alabama,Moderna,2021-03-08,47700,47700
Alabama,Moderna,2021-03-15,47700,47700
Alabama,Moderna,2021-03-22,47700,47700
Alabama,Moderna,2021-03-29,47700,47700
Alabama,Moderna,2021-04-05,49800,49800
Alabama,Moderna,2021-04-12,49800,49800
Alabama,Moderna,2021-04-19,53700,53700
Alabama,Moderna,2021-04-26,53700,53700
Alabama,Moderna,2021-05-03,53700,53700
Alabama,Moderna,2021-05-10,54900,54900
Alabama,Moderna,2021-05-17,54960,54960
Alabama,Moderna,2021-05-24,54960,54960
Alabama,Moderna,2021-05-31,53760,53760
Alabama,Pfizer,2020-12-14,40950,40950
Alabama,Pfizer,2020-12-21,29250,29250
Alabama,Pfizer,2020-12-28,38025,38025
Alabama,Pfizer,2021-01-04,29250,29250
Alabama,Pfizer,2021-01-11,29250,29250
Alabama,Pfizer,2021-01-18,30225,30225
Alabama,Pfizer,2021-01-25,30225,30225
Alabama,Pfizer,2021-02-01,30225,30225
Alabama,Pfizer,2021-02-08,30225,30225
Alabama,Pfizer,2021-02-15,30225,30225
Alabama,Pfizer,2021-02-22,47970,47970
Alabama,Pfizer,2021-03-01,54990,54990
Alabama,Pfizer,2021-03-08,60840,60840
Alabama,Pfizer,2021-03-15,65520,65520
Alabama,Pfizer,2021-03-22,66690,66690
Alabama,Pfizer,2021-03-29,80730,80730
Alabama,Pfizer,2021-04-05,66690,66690
Alabama,Pfizer,2021-04-12,67860,67860
Alabama,Pfizer,2021-04-19,72540,72540
Alabama,Pfizer,2021-04-26,72540,72540
Alabama,Pfizer,2021-05-03,72540,72540
Alabama,Pfizer,2021-05-10,72540,72540
Alabama,Pfizer,2021-05-17,72540,72540
Alabama,Pfizer,2021-05-24,72540,72540
Alabama,Pfizer,2021-05-31,72090,72090
Alaska,Janssen,2021-03-01,8900,NA
Alaska,Janssen,2021-03-15,1300,NA
Alaska,Janssen,2021-03-22,1300,NA
Alaska,Janssen,2021-03-29,6300,NA
Alaska,Janssen,2021-04-05,15800,NA
Alaska,Janssen,2021-04-12,1900,NA
Alaska,Janssen,2021-05-03,2500,NA
Alaska,Janssen,2021-05-10,1900,NA
Alaska,Moderna,2020-12-21,26800,26800
Alaska,Moderna,2020-12-28,0,0
Alaska,Moderna,2021-01-04,25600,25600
Alaska,Moderna,2021-01-11,0,0
Alaska,Moderna,2021-01-18,0,0
Alaska,Moderna,2021-01-25,0,0
Alaska,Moderna,2021-02-01,32300,32300
Alaska,Moderna,2021-02-08,0,0
Alaska,Moderna,2021-02-15,0,0
