jurisdiction,vaccine,week,first_dose,second_dose
Alaska,Moderna,2021-02-22,0,0
Alaska,Moderna,2021-03-01,49300,49300
Alaska,Moderna,2021-03-08,0,0
Alaska,Moderna,2021-03-15,0,0
Alaska,Moderna,2021-03-22,0,0
Alaska,Moderna,2021-03-29,52500,52500
Alaska,Moderna,2021-04-05,0,0
Alaska,Moderna,2021-04-12,0,0
Alaska,Moderna,2021-04-19,0,0
Alaska,Moderna,2021-04-26,0,0
Alaska,Moderna,2021-05-03,15200,15200
Alaska,Moderna,2021-05-10,12100,12100
Alaska,Moderna,2021-05-17,12060,12060
Alaska,Moderna,2021-05-24,12060,12060
Alaska,Moderna,2021-05-31,11760,11760
Alaska,Pfizer,2020-12-14,35100,35100
Alaska,Pfizer,2020-12-21,0,0
Alaska,Pfizer,2020-12-28,0,0
Alaska,Pfizer,2021-01-04,27300,27300
Alaska,Pfizer,2021-01-11,0,0
Alaska,Pfizer,2021-01-18,0,0
Alaska,Pfizer,2021-01-25,0,0
Alaska,Pfizer,2021-02-01,27300,27300
Alaska,Pfizer,2021-02-08,0,0
Alaska,Pfizer,2021-02-15,0,0
Alaska,Pfizer,2021-02-22,0,0
Alaska,Pfizer,2021-03-01,53820,53820
Alaska,Pfizer,2021-03-08,0,0
Alaska,Pfizer,2021-03-15,0,0
Alaska,Pfizer,2021-03-22,0,0
Alaska,Pfizer,2021-03-29,91260,79560
Alaska,Pfizer,2021-04-05,0,0
Alaska,Pfizer,2021-04-12,0,0
Alaska,Pfizer,2021-04-19,0,0
Alaska,Pfizer,2021-04-26,0,0
Alaska,Pfizer,2021-05-03,18720,18720
Alaska,Pfizer,2021-05-10,16380,16380
Alaska,Pfizer,2021-05-17,16380,16380
Alaska,Pfizer,2021-05-24,16380,16380
Alaska,Pfizer,2021-05-31,16830,16830
American Samoa,Janssen,2021-03-01,400,NA
American Samoa,Janssen,2021-03-15,100,NA
American Samoa,Janssen,2021-03-22,100,NA
American Samoa,Janssen,2021-03-29,300,NA
American Samoa,Janssen,2021-04-05,3700,NA
American Samoa,Janssen,2021-04-12,0,NA
American Samoa,Janssen,2021-05-03,0,NA
American Samoa,Janssen,2021-05-10,0,NA
American Samoa,Moderna,2020-12-21,2400,0
American Samoa,Moderna,2020-12-28,0,0
American Samoa,Moderna,2021-01-04,2400,0
American Samoa,Moderna,2021-01-11,0,0
American Samoa,Moderna,2021-01-18,0,0
American Samoa,Moderna,2021-01-25,0,0
American Samoa,Moderna,2021-02-01,3200,0
American Samoa,Moderna,2021-02-08,0,0
American Samoa,Moderna,2021-02-15,0,0
American Samoa,Moderna,2021-02-22,0,0
American Samoa,Moderna,2021-03-01,4400,0
American Samoa,Moderna,2021-03-08,0,0
American Samoa,Moderna,2021-03-15,0,0
American Samoa,Moderna,2021-03-22,0,0
American Samoa,Moderna,2021-03-29,5000,0
American Samoa,Moderna,2021-04-05,0,0
American Samoa,Moderna,2021-04-12,0,0
American Samoa,Moderna,2021-04-19,0,0
American Samoa,Moderna,2021-04-26,0,0
American Samoa,Moderna,2021-05-03,0,0
American Samoa,Moderna,2021-05-10,0,0
American Samoa,Moderna,2021-05-17,0,0
American Samoa,Moderna,2021-05-24,0,0
American Samoa,Moderna,2021-05-31,0,0
American Samoa,Pfizer,2020-12-14,5850,0
American Samoa,Pfizer,2020-12-21,0,0
American Samoa,Pfizer,2020-12-28,0,0
American Samoa,Pfizer,2021-01-04,7800,0
American Samoa,Pfizer,2021-01-11,0,0
American Samoa,Pfizer,2021-01-18,0,0
American Samoa,Pfizer,2021-01-25,0,0
American Samoa,Pfizer,2021-02-01,7800,0
American Samoa,Pfizer,2021-02-08,0,0
American Samoa,Pfizer,2021-02-15,0,0
American Samoa,Pfizer,2021-02-22,0,0
American Samoa,Pfizer,2021-03-01,9360,0
American Samoa,Pfizer,2021-03-08,0,0
American Samoa,Pfizer,2021-03-15,0,0
American Samoa,Pfizer,2021-03-22,0,0
American Samoa,Pfizer,2021-03-29,11700,0
American Samoa,Pfizer,2021-04-05,0,0
American Samoa,Pfizer,2021-04-12,0,0
American Samoa,Pfizer,2021-04-19,0,0
American Samoa,Pfizer,2021-04-26,0,0
American Samoa,Pfizer,2021-05-03,0,0
American Samoa,Pfizer,2021-05-10,0,0
American Samoa,Pfizer,2021-05-17,0,0
American Samoa,Pfizer,2021-05-24,0,0
American Samoa,Pfizer,2021-05-31,0,0
Arizona,Janssen,2021-03-01,56800,NA
Arizona,Janssen,2021-03-15,7900,NA
Arizona,Janssen,2021-03-22,7900,NA
Arizona,Janssen,2021-03-29,40000,NA
Arizona,Janssen,2021-04-05,101700,NA
Arizona,Janssen,2021-04-12,12000,NA
Arizona,Janssen,2021-05-03,15600,NA
Arizona,Janssen,2021-05-10,12000,NA
Arizona,Moderna,2020-12-21,119400,119400
Arizona,Moderna,2020-12-28,41300,41300
Arizona,Moderna,2021-01-04,41100,41100
Arizona,Moderna,2021-01-11,41300,41300
Arizona,Moderna,2021-01-18,43400,43400
Arizona,Moderna,2021-01-25,43400,43400
Arizona,Moderna,2021-02-01,57200,57200
Arizona,Moderna,2021-02-08,62500,62500
Arizona,Moderna,2021-02-15,67600,67600
Arizona,Moderna,2021-02-22,67600,67600
Arizona,Moderna,2021-03-01,67600,67600
Arizona,Moderna,2021-03-08,67600,67600
Arizona,Moderna,2021-03-15,67600,67600
Arizona,Moderna,2021-03-22,67600,67600
Arizona,Moderna,2021-03-29,67600,67600
Arizona,Moderna,2021-04-05,70600,70600
Arizona,Moderna,2021-04-12,70600,70600
Arizona,Moderna,2021-04-19,76200,76200
Arizona,Moderna,2021-04-26,76200,76200
Arizona,Moderna,2021-05-03,76200,76200
Arizona,Moderna,2021-05-10,77900,77900
Arizona,Moderna,2021-05-17,77860,77860
Arizona,Moderna,2021-05-24,77860,77860
Arizona,Moderna,2021-05-31,76160,76160
Arizona,Pfizer,2020-12-14,58500,58500
Arizona,Pfizer,2020-12-21,41925,41925
Arizona,Pfizer,2020-12-28,53625,53625
Arizona,Pfizer,2021-01-04,41925,41925
Arizona,Pfizer,2021-01-11,41925,41925
Arizona,Pfizer,2021-01-18,42900,42900
Arizona,Pfizer,2021-01-25,42900,42900
Arizona,Pfizer,2021-02-01,42900,42900
Arizona,Pfizer,2021-02-08,42900,42900
Arizona,Pfizer,2021-02-15,42900,42900
Arizona,Pfizer,2021-02-22,69030,69030
Arizona,Pfizer,2021-03-01,78390,78390
Arizona,Pfizer,2021-03-08,85410,85410
Arizona,Pfizer,2021-03-15,92430,92430
Arizona,Pfizer,2021-03-22,93600,93600
Arizona,Pfizer,2021-03-29,114660,114660
Arizona,Pfizer,2021-04-05,93600,93600
Arizona,Pfizer,2021-04-12,95940,95940
Arizona,Pfizer,2021-04-19,102960,102960
Arizona,Pfizer,2021-04-26,102960,102960
Arizona,Pfizer,2021-05-03,102960,102960
Arizona,Pfizer,2021-05-10,102960,102960
Arizona,Pfizer,2021-05-17,102960,102960
Arizona,Pfizer,2021-05-24,102960,102960
Arizona,Pfizer,2021-05-31,102510,102510
Arkansas,Janssen,2021-03-01,24400,NA
Arkansas,Janssen,2021-03-15,3400,NA
Arkansas,Janssen,2021-03-22,3400,NA
Arkansas,Janssen,2021-03-29,17200,NA
Arkansas,Janssen,2021-04-05,43500,NA
Arkansas,Janssen,2021-04-12,5200,NA
Arkansas,Janssen,2021-05-03,6700,NA
Arkansas,Janssen,2021-05-10,5200,NA
Arkansas,Moderna,2020-12-21,51100,51100
Arkansas,Moderna,2020-12-28,17700,17700
Arkansas,Moderna,2021-01-04,17600,17600
Arkansas,Moderna,2021-01-11,17700,17700
Arkansas,Moderna,2021-01-18,18600,18600
Arkansas,Moderna,2021-01-25,18600,18600
Arkansas,Moderna,2021-02-01,24500,24500
Arkansas,Moderna,2021-02-08,26800,26800
Arkansas,Moderna,2021-02-15,28900,28900
Arkansas,Moderna,2021-02-22,28900,28900
Arkansas,Moderna,2021-03-01,28900,28900
Arkansas,Moderna,2021-03-08,28900,28900
Arkansas,Moderna,2021-03-15,28900,28900
Arkansas,Moderna,2021-03-22,28900,28900
Arkansas,Moderna,2021-03-29,28900,28900
Arkansas,Moderna,2021-04-05,30200,30200
Arkansas,Moderna,2021-04-12,30200,30200
Arkansas,Moderna,2021-04-19,32600,32600
Arkansas,Moderna,2021-04-26,32600,32600
Arkansas,Moderna,2021-05-03,32600,32600
Arkansas,Moderna,2021-05-10,33400,33400
Arkansas,Moderna,2021-05-17,33420,33420
Arkansas,Moderna,2021-05-24,33420,33420
Arkansas,Moderna,2021-05-31,32620,32620
Arkansas,Pfizer,2020-12-14,25350,25350
Arkansas,Pfizer,2020-12-21,18525,18525
Arkansas,Pfizer,2020-12-28,23400,23400
Arkansas,Pfizer,2021-01-04,18525,18525
Arkansas,Pfizer,2021-01-11,18525,18525
Arkansas,Pfizer,2021-01-18,18525,18525
Arkansas,Pfizer,2021-01-25,18525,18525
Arkansas,Pfizer,2021-02-01,18525,18525
Arkansas,Pfizer,2021-02-08,18525,18525
Arkansas,Pfizer,2021-02-15,18525,18525
Arkansas,Pfizer,2021-02-22,29250,29250
Arkansas,Pfizer,2021-03-01,33930,33930
Arkansas,Pfizer,2021-03-08,37440,37440
Arkansas,Pfizer,2021-03-15,39780,39780
Arkansas,Pfizer,2021-03-22,39780,39780
Arkansas,Pfizer,2021-03-29,49140,49140
Arkansas,Pfizer,2021-04-05,39780,39780
Arkansas,Pfizer,2021-04-12,40950,40950
Arkansas,Pfizer,2021-04-19,44460,44460
Arkansas,Pfizer,2021-04-26,44460,44460
Arkansas,Pfizer,2021-05-03,44460,44460
Arkansas,Pfizer,2021-05-10,44460,44460
Arkansas,Pfizer,2021-05-17,44460,44460
Arkansas,Pfizer,2021-05-24,44460,44460
Arkansas,Pfizer,2021-05-31,44460,44460
California,Janssen,2021-03-01,320100,NA
California,Janssen,2021-03-15,44000,NA
California,Janssen,2021-03-22,44000,NA
California,Janssen,2021-03-29,224600,NA
California,Janssen,2021-04-05,572700,NA
California,Janssen,2021-04-12,67600,NA
California,Janssen,2021-05-03,87800,NA
California,Janssen,2021-05-10,67600,NA
California,Moderna,2020-12-21,672600,672600
California,Moderna,2020-12-28,232300,232300
California,Moderna,2021-01-04,231400,231400
California,Moderna,2021-01-11,232300,232300
California,Moderna,2021-01-18,244000,244000
California,Moderna,2021-01-25,244000,244000
California,Moderna,2021-02-01,322000,322000
California,Moderna,2021-02-08,351900,351900
California,Moderna,2021-02-15,380300,380300
California,Moderna,2021-02-22,380300,380300
California,Moderna,2021-03-01,380300,380300
California,Moderna,2021-03-08,380300,380300
California,Moderna,2021-03-15,380300,380300
California,Moderna,2021-03-22,380300,380300
California,Moderna,2021-03-29,380300,380300
California,Moderna,2021-04-05,397400,397400
California,Moderna,2021-04-12,397400,397400
California,Moderna,2021-04-19,428600,428600
California,Moderna,2021-04-26,428600,428600
California,Moderna,2021-05-03,428600,428600
California,Moderna,2021-05-10,438100,438100
California,Moderna,2021-05-17,438000,438000
California,Moderna,2021-05-24,438000,438000
California,Moderna,2021-05-31,428400,428400
California,Pfizer,2020-12-14,327600,327600
California,Pfizer,2020-12-21,233025,233025
California,Pfizer,2020-12-28,297375,297375
California,Pfizer,2021-01-04,232050,232050
California,Pfizer,2021-01-11,233025,233025
California,Pfizer,2021-01-18,241800,241800
California,Pfizer,2021-01-25,241800,241800
California,Pfizer,2021-02-01,240825,240825
California,Pfizer,2021-02-08,241800,241800
California,Pfizer,2021-02-15,241800,241800
California,Pfizer,2021-02-22,382590,382590
California,Pfizer,2021-03-01,438750,438750
California,Pfizer,2021-03-08,479700,479700
California,Pfizer,2021-03-15,515970,515970
California,Pfizer,2021-03-22,524160,524160
California,Pfizer,2021-03-29,644670,644670
California,Pfizer,2021-04-05,524160,524160
California,Pfizer,2021-04-12,535860,535860
California,Pfizer,2021-04-19,575640,575640
California,Pfizer,2021-04-26,575640,575640
California,Pfizer,2021-05-03,575640,575640
California,Pfizer,2021-05-10,575640,575640
California,Pfizer,2021-05-17,575640,575640
California,Pfizer,2021-05-24,575640,575640
California,Pfizer,2021-05-31,575640,575640
Chicago,Janssen,2021-03-01,22300,NA
Chicago,Janssen,2021-03-15,3100,NA
Chicago,Janssen,2021-03-22,3100,NA
Chicago,Janssen,2021-03-29,15700,NA
Chicago,Janssen,2021-04-05,39900,NA
Chicago,Janssen,2021-04-12,4800,NA
Chicago,Janssen,2021-05-03,6200,NA
Chicago,Janssen,2021-05-10,4800,NA
Chicago,Moderna,2020-12-21,46800,46800
Chicago,Moderna,2020-12-28,16200,16200
Chicago,Moderna,2021-01-04,16100,16100
Chicago,Moderna,2021-01-11,16200,16200
Chicago,Moderna,2021-01-18,17000,17000
Chicago,Moderna,2021-01-25,17000,17000
Chicago,Moderna,2021-02-01,22400,22400
Chicago,Moderna,2021-02-08,24500,24500
Chicago,Moderna,2021-02-15,26500,26500
Chicago,Moderna,2021-02-22,26500,26500
Chicago,Moderna,2021-03-01,26500,26500
Chicago,Moderna,2021-03-08,26500,26500
Chicago,Moderna,2021-03-15,26500,26500
Chicago,Moderna,2021-03-22,26500,26500
Chicago,Moderna,2021-03-29,26500,26500
Chicago,Moderna,2021-04-05,27700,27700
Chicago,Moderna,2021-04-12,27700,27700
Chicago,Moderna,2021-04-19,29900,29900
Chicago,Moderna,2021-04-26,29900,29900
Chicago,Moderna,2021-05-03,29900,29900
Chicago,Moderna,2021-05-10,30600,30600
Chicago,Moderna,2021-05-17,30520,30520
Chicago,Moderna,2021-05-24,30520,30520
Chicago,Moderna,2021-05-31,29820,29820
Chicago,Pfizer,2020-12-14,23400,23400
Chicago,Pfizer,2020-12-21,16575,16575
Chicago,Pfizer,2020-12-28,21450,21450
Chicago,Pfizer,2021-01-04,16575,16575
Chicago,Pfizer,2021-01-11,16575,16575
Chicago,Pfizer,2021-01-18,17550,17550
Chicago,Pfizer,2021-01-25,17550,17550
Chicago,Pfizer,2021-02-01,17550,17550
Chicago,Pfizer,2021-02-08,17550,17550
Chicago,Pfizer,2021-02-15,17550,17550
Chicago,Pfizer,2021-02-22,26910,26910
Chicago,Pfizer,2021-03-01,31590,31590
Chicago,Pfizer,2021-03-08,33930,33930
Chicago,Pfizer,2021-03-15,36270,36270
Chicago,Pfizer,2021-03-22,37440,37440
Chicago,Pfizer,2021-03-29,45630,45630
Chicago,Pfizer,2021-04-05,37440,37440
Chicago,Pfizer,2021-04-12,37440,37440
Chicago,Pfizer,2021-04-19,40950,40950
Chicago,Pfizer,2021-04-26,40950,40950
Chicago,Pfizer,2021-05-03,40950,40950
Chicago,Pfizer,2021-05-10,40950,40950
Chicago,Pfizer,2021-05-17,40950,40950
Chicago,Pfizer,2021-05-24,40950,40950
Chicago,Pfizer,2021-05-31,40770,40770
Colorado,Janssen,2021-03-01,45500,NA
Colorado,Janssen,2021-03-15,6300,NA
Colorado,Janssen,2021-03-22,6300,NA
Colorado,Janssen,2021-03-29,32000,NA
Colorado,Janssen,2021-04-05,81400,NA
Colorado,Janssen,2021-04-12,9700,NA
Colorado,Janssen,2021-05-03,12500,NA
Colorado,Janssen,2021-05-10,9700,NA
Colorado,Moderna,2020-12-21,95600,95600
Colorado,Moderna,2020-12-28,33000,33000
Colorado,Moderna,2021-01-04,32900,32900
Colorado,Moderna,2021-01-11,33000,33000
Colorado,Moderna,2021-01-18,34700,34700
Colorado,Moderna,2021-01-25,34700,34700
Colorado,Moderna,2021-02-01,45800,45800
Colorado,Moderna,2021-02-08,50000,50000
Colorado,Moderna,2021-02-15,54100,54100
Colorado,Moderna,2021-02-22,54100,54100
Colorado,Moderna,2021-03-01,54100,54100
Colorado,Moderna,2021-03-08,54100,54100
Colorado,Moderna,2021-03-15,54100,54100
Colorado,Moderna,2021-03-22,54100,54100
Colorado,Moderna,2021-03-29,54100,54100
Colorado,Moderna,2021-04-05,56500,56500
Colorado,Moderna,2021-04-12,56500,56500
Colorado,Moderna,2021-04-19,60900,60900
Colorado,Moderna,2021-04-26,60900,60900
Colorado,Moderna,2021-05-03,60900,60900
Colorado,Moderna,2021-05-10,62300,62300
Colorado,Moderna,2021-05-17,62300,62300
Colorado,Moderna,2021-05-24,62300,62300
Colorado,Moderna,2021-05-31,60900,60900
Colorado,Pfizer,2020-12-14,46800,46800
Colorado,Pfizer,2020-12-21,33150,33150
Colorado,Pfizer,2020-12-28,42900,42900
Colorado,Pfizer,2021-01-04,33150,33150
Colorado,Pfizer,2021-01-11,33150,33150
Colorado,Pfizer,2021-01-18,35100,35100
Colorado,Pfizer,2021-01-25,35100,35100
Colorado,Pfizer,2021-02-01,34125,34125
Colorado,Pfizer,2021-02-08,35100,35100
Colorado,Pfizer,2021-02-15,35100,35100
Colorado,Pfizer,2021-02-22,54990,54990
Colorado,Pfizer,2021-03-01,63180,63180
Colorado,Pfizer,2021-03-08,69030,69030
Colorado,Pfizer,2021-03-15,73710,73710
Colorado,Pfizer,2021-03-22,74880,74880
Colorado,Pfizer,2021-03-29,92430,92430
Colorado,Pfizer,2021-04-05,74880,74880
Colorado,Pfizer,2021-04-12,76050,76050
Colorado,Pfizer,2021-04-19,81900,81900
Colorado,Pfizer,2021-04-26,81900,81900
Colorado,Pfizer,2021-05-03,81900,81900
Colorado,Pfizer,2021-05-10,81900,81900
Colorado,Pfizer,2021-05-17,81900,81900
Colorado,Pfizer,2021-05-24,81900,81900
Colorado,Pfizer,2021-05-31,82710,82710
Connecticut,Janssen,2021-03-01,30200,NA
Connecticut,Janssen,2021-03-15,4200,NA
Connecticut,Janssen,2021-03-22,4200,NA
Connecticut,Janssen,2021-03-29,21200,NA
Connecticut,Janssen,2021-04-05,53900,NA
Connecticut,Janssen,2021-04-12,6400,NA
Connecticut,Janssen,2021-05-03,8300,NA
Connecticut,Janssen,2021-05-10,6400,NA
Connecticut,Moderna,2020-12-21,63300,63300
Connecticut,Moderna,2020-12-28,21900,21900
Connecticut,Moderna,2021-01-04,21800,21800
Connecticut,Moderna,2021-01-11,21900,21900
Connecticut,Moderna,2021-01-18,23000,23000
Connecticut,Moderna,2021-01-25,23000,23000
Connecticut,Moderna,2021-02-01,30300,30300
Connecticut,Moderna,2021-02-08,33100,33100
Connecticut,Moderna,2021-02-15,35800,35800
Connecticut,Moderna,2021-02-22,35800,35800
Connecticut,Moderna,2021-03-01,35800,35800
Connecticut,Moderna,2021-03-08,35800,35800
Connecticut,Moderna,2021-03-15,35800,35800
Connecticut,Moderna,2021-03-22,35800,35800
Connecticut,Moderna,2021-03-29,35800,35800
Connecticut,Moderna,2021-04-05,37400,37400
Connecticut,Moderna,2021-04-12,37400,37400
Connecticut,Moderna,2021-04-19,40400,40400
Connecticut,Moderna,2021-04-26,40400,40400
Connecticut,Moderna,2021-05-03,40400,40400
Connecticut,Moderna,2021-05-10,41300,41300
Connecticut,Moderna,2021-05-17,41220,41220
Connecticut,Moderna,2021-05-24,41220,41220
Connecticut,Moderna,2021-05-31,40320,40320
Connecticut,Pfizer,2020-12-14,31200,31200
Connecticut,Pfizer,2020-12-21,22425,22425
Connecticut,Pfizer,2020-12-28,28275,28275
Connecticut,Pfizer,2021-01-04,22425,22425
Connecticut,Pfizer,2021-01-11,22425,22425
Connecticut,Pfizer,2021-01-18,23400,23400
Connecticut,Pfizer,2021-01-25,23400,23400
Connecticut,Pfizer,2021-02-01,23400,23400
Connecticut,Pfizer,2021-02-08,23400,23400
Connecticut,Pfizer,2021-02-15,23400,23400
Connecticut,Pfizer,2021-02-22,36270,36270
Connecticut,Pfizer,2021-03-01,42120,42120
Connecticut,Pfizer,2021-03-08,45630,45630
Connecticut,Pfizer,2021-03-15,49140,49140
Connecticut,Pfizer,2021-03-22,50310,50310
Connecticut,Pfizer,2021-03-29,60840,60840
Connecticut,Pfizer,2021-04-05,50310,50310
Connecticut,Pfizer,2021-04-12,51480,51480
Connecticut,Pfizer,2021-04-19,54990,54990
Connecticut,Pfizer,2021-04-26,54990,54990
Connecticut,Pfizer,2021-05-03,54990,54990
Connecticut,Pfizer,2021-05-10,54990,54990
Connecticut,Pfizer,2021-05-17,54990,54990
Connecticut,Pfizer,2021-05-24,54990,54990
Connecticut,Pfizer,2021-05-31,54360,54360
Delaware,Janssen,2021-03-01,8000,NA
Delaware,Janssen,2021-03-15,1100,NA
Delaware,Janssen,2021-03-22,1100,NA
Delaware,Janssen,2021-03-29,5600,NA
Delaware,Janssen,2021-04-05,14300,NA
Delaware,Janssen,2021-04-12,1700,NA
Delaware,Janssen,2021-05-03,2200,NA
Delaware,Janssen,2021-05-10,1700,NA
Delaware,Moderna,2020-12-21,16700,16700
Delaware,Moderna,2020-12-28,5800,5800
Delaware,Moderna,2021-01-04,5800,5800
Delaware,Moderna,2021-01-11,5800,5800
Delaware,Moderna,2021-01-18,6100,6100
Delaware,Moderna,2021-01-25,6100,6100
Delaware,Moderna,2021-02-01,8000,8000
Delaware,Moderna,2021-02-08,8800,8800
Delaware,Moderna,2021-02-15,9500,9500
Delaware,Moderna,2021-02-22,9500,9500
Delaware,Moderna,2021-03-01,9500,9500
Delaware,Moderna,2021-03-08,9500,9500
Delaware,Moderna,2021-03-15,9500,9500
Delaware,Moderna,2021-03-22,9500,9500
Delaware,Moderna,2021-03-29,9500,9500
Delaware,Moderna,2021-04-05,9900,9900
Delaware,Moderna,2021-04-12,9900,9900
Delaware,Moderna,2021-04-19,10700,10700
Delaware,Moderna,2021-04-26,10700,10700
Delaware,Moderna,2021-05-03,10700,10700
Delaware,Moderna,2021-05-10,11000,11000
Delaware,Moderna,2021-05-17,10940,10940
Delaware,Moderna,2021-05-24,10940,10940
Delaware,Moderna,2021-05-31,10640,10640
Delaware,Pfizer,2020-12-14,8775,8775
Delaware,Pfizer,2020-12-21,5850,5850
Delaware,Pfizer,2020-12-28,7800,7800
Delaware,Pfizer,2021-01-04,5850,5850
Delaware,Pfizer,2021-01-11,5850,5850
Delaware,Pfizer,2021-01-18,6825,6825
Delaware,Pfizer,2021-01-25,6825,6825
Delaware,Pfizer,2021-02-01,6825,6825
Delaware,Pfizer,2021-02-08,6825,6825
Delaware,Pfizer,2021-02-15,6825,6825
Delaware,Pfizer,2021-02-22,10530,10530
Delaware,Pfizer,2021-03-01,11700,11700
Delaware,Pfizer,2021-03-08,12870,12870
Delaware,Pfizer,2021-03-15,12870,12870
Delaware,Pfizer,2021-03-22,14040,14040
Delaware,Pfizer,2021-03-29,16380,16380
Delaware,Pfizer,2021-04-05,14040,14040
Delaware,Pfizer,2021-04-12,14040,14040
Delaware,Pfizer,2021-04-19,15210,15210
Delaware,Pfizer,2021-04-26,15210,15210
Delaware,Pfizer,2021-05-03,15210,15210
Delaware,Pfizer,2021-05-10,15210,15210
Delaware,Pfizer,2021-05-17,15210,15210
Delaware,Pfizer,2021-05-24,15210,15210
Delaware,Pfizer,2021-05-31,15210,15210
District of Columbia,Janssen,2021-03-01,6000,NA
District of Columbia,Janssen,2021-03-15,900,NA
District of Columbia,Janssen,2021-03-22,900,NA
District of Columbia,Janssen,2021-03-29,4300,NA
District of Columbia,Janssen,2021-04-05,10800,NA
District of Columbia,Janssen,2021-04-12,1300,NA
District of Columbia,Janssen,2021-05-03,1700,NA
District of Columbia,Janssen,2021-05-10,1300,NA
District of Columbia,Moderna,2020-12-21,12600,12600
District of Columbia,Moderna,2020-12-28,4400,4400
District of Columbia,Moderna,2021-01-04,4400,4400
District of Columbia,Moderna,2021-01-11,4400,4400
District of Columbia,Moderna,2021-01-18,4600,4600
District of Columbia,Moderna,2021-01-25,4600,4600
District of Columbia,Moderna,2021-02-01,6100,6100
District of Columbia,Moderna,2021-02-08,6600,6600
District of Columbia,Moderna,2021-02-15,7200,7200
District of Columbia,Moderna,2021-02-22,7200,7200
District of Columbia,Moderna,2021-03-01,7200,7200
District of Columbia,Moderna,2021-03-08,7200,7200
District of Columbia,Moderna,2021-03-15,7200,7200
District of Columbia,Moderna,2021-03-22,7200,7200
District of Columbia,Moderna,2021-03-29,7200,7200
District of Columbia,Moderna,2021-04-05,7500,7500
District of Columbia,Moderna,2021-04-12,7500,7500
District of Columbia,Moderna,2021-04-19,8100,8100
District of Columbia,Moderna,2021-04-26,8100,8100
District of Columbia,Moderna,2021-05-03,8100,8100
District of Columbia,Moderna,2021-05-10,8300,8300
